ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	PossibleGeneSymbols	PossibleGeneNames
GO:0001757	somite specification	37/179	42/2086	5.24622678351174e-36	5.40361358701709e-34	1.21491567618166e-34	btp004481-T1/btp004488-T1/btp004489-T1/btp004485-T1/btp004486-T1/btp004480-T1/btp004487-T1/btp002112-T1/btp004490-T1/btp004471-T1/btp004470-T1/btp004469-T1/btp004478-T1/btp004476-T1_btp004477-T1.1.61e91810/btp004479-T1/btp021365-T1/btp021366-T1/btp021367-T1.1.61e8db7e/btp021368-T1.1.61e8db7e/btp021369-T1/btp021370-T1/btp003692-T1/btp003684-T1/btp003687-T1/btp003688-T1/btp003691-T1/btp003683-T1/btp003716-T1/btp003713-T1/btp003714-T1/btp003715-T1/btp003711-T1/btp003712-T1/btp003717-T1/btp003693-T1/btp003686-T1/btp003690-T1	37	loc121515109|loc121515112|loc120812197|loc120809427|loc119893047|loc119893273|loc119893275|loc121529422|loc121529421|loc121529424|loc121529423|loc120827164|loc120827163|loc119896480|loc119896481|loc119896533|loc119896476|loc119906047|loc119896478|loc121528135|loc116051581|loc119885501|loc119886476|loc119885842|loc116051224|loc116051225|loc116047841|loc116051582|loc119886887|loc116047839|loc116047842|loc116051583|loc116051584|loc116051448|loc116051585|loc119886888|loc119885554|loc121528120|loc121528093|loc121528126|loc121528130|loc121528102|loc121528119|loc121528109|loc121528148|loc120834816|loc119886470|loc120834812|loc120834813|loc120834815|loc120834818|loc120834817|loc120834814|loc120834819|loc116051311	myosin heavy chain, fast skeletal muscle-like|myosin heavy chain, fast skeletal muscle|transcription factor HES-5-like|enhancer of split mbeta protein-like|transcription factor HES-2-like|protein hairy-like|hairy/enhancer-of-split related with YRPW motif-like protein|transcription factor HES-7.1-A-like
GO:0003209	cardiac atrium morphogenesis	21/179	26/2086	5.90652391550854e-19	5.53065421179436e-18	1.24347871905443e-18	btp004481-T1/btp004488-T1/btp004489-T1/btp004485-T1/btp004486-T1/btp004480-T1/btp004487-T1/btp002112-T1/btp004490-T1/btp004471-T1/btp004470-T1/btp004469-T1/btp004478-T1/btp004476-T1_btp004477-T1.1.61e91810/btp004479-T1/btp021365-T1/btp021366-T1/btp021367-T1.1.61e8db7e/btp021368-T1.1.61e8db7e/btp021369-T1/btp021370-T1	21	loc121515109|loc121515112|loc120812197|loc120809427|loc119893047|loc119893273|loc119893275|loc121529422|loc121529421|loc121529424|loc121529423|loc120827164|loc120827163|loc119896480|loc119896481|loc119896533|loc119896476|loc119906047|loc119896478	myosin heavy chain, fast skeletal muscle-like|myosin heavy chain, fast skeletal muscle
GO:0003230	cardiac atrium development	21/179	26/2086	5.90652391550854e-19	5.53065421179436e-18	1.24347871905443e-18	btp004481-T1/btp004488-T1/btp004489-T1/btp004485-T1/btp004486-T1/btp004480-T1/btp004487-T1/btp002112-T1/btp004490-T1/btp004471-T1/btp004470-T1/btp004469-T1/btp004478-T1/btp004476-T1_btp004477-T1.1.61e91810/btp004479-T1/btp021365-T1/btp021366-T1/btp021367-T1.1.61e8db7e/btp021368-T1.1.61e8db7e/btp021369-T1/btp021370-T1	21	loc121515109|loc121515112|loc120812197|loc120809427|loc119893047|loc119893273|loc119893275|loc121529422|loc121529421|loc121529424|loc121529423|loc120827164|loc120827163|loc119896480|loc119896481|loc119896533|loc119896476|loc119906047|loc119896478	myosin heavy chain, fast skeletal muscle-like|myosin heavy chain, fast skeletal muscle
GO:0006941	striated muscle contraction	21/179	26/2086	5.90652391550854e-19	5.53065421179436e-18	1.24347871905443e-18	btp004481-T1/btp004488-T1/btp004489-T1/btp004485-T1/btp004486-T1/btp004480-T1/btp004487-T1/btp002112-T1/btp004490-T1/btp004471-T1/btp004470-T1/btp004469-T1/btp004478-T1/btp004476-T1_btp004477-T1.1.61e91810/btp004479-T1/btp021365-T1/btp021366-T1/btp021367-T1.1.61e8db7e/btp021368-T1.1.61e8db7e/btp021369-T1/btp021370-T1	21	loc121515109|loc121515112|loc120812197|loc120809427|loc119893047|loc119893273|loc119893275|loc121529422|loc121529421|loc121529424|loc121529423|loc120827164|loc120827163|loc119896480|loc119896481|loc119896533|loc119896476|loc119906047|loc119896478	myosin heavy chain, fast skeletal muscle-like|myosin heavy chain, fast skeletal muscle
GO:0007512	adult heart development	21/179	26/2086	5.90652391550854e-19	5.53065421179436e-18	1.24347871905443e-18	btp004481-T1/btp004488-T1/btp004489-T1/btp004485-T1/btp004486-T1/btp004480-T1/btp004487-T1/btp002112-T1/btp004490-T1/btp004471-T1/btp004470-T1/btp004469-T1/btp004478-T1/btp004476-T1_btp004477-T1.1.61e91810/btp004479-T1/btp021365-T1/btp021366-T1/btp021367-T1.1.61e8db7e/btp021368-T1.1.61e8db7e/btp021369-T1/btp021370-T1	21	loc121515109|loc121515112|loc120812197|loc120809427|loc119893047|loc119893273|loc119893275|loc121529422|loc121529421|loc121529424|loc121529423|loc120827164|loc120827163|loc119896480|loc119896481|loc119896533|loc119896476|loc119906047|loc119896478	myosin heavy chain, fast skeletal muscle-like|myosin heavy chain, fast skeletal muscle
GO:0007522	visceral muscle development	21/179	26/2086	5.90652391550854e-19	5.53065421179436e-18	1.24347871905443e-18	btp004481-T1/btp004488-T1/btp004489-T1/btp004485-T1/btp004486-T1/btp004480-T1/btp004487-T1/btp002112-T1/btp004490-T1/btp004471-T1/btp004470-T1/btp004469-T1/btp004478-T1/btp004476-T1_btp004477-T1.1.61e91810/btp004479-T1/btp021365-T1/btp021366-T1/btp021367-T1.1.61e8db7e/btp021368-T1.1.61e8db7e/btp021369-T1/btp021370-T1	21	loc121515109|loc121515112|loc120812197|loc120809427|loc119893047|loc119893273|loc119893275|loc121529422|loc121529421|loc121529424|loc121529423|loc120827164|loc120827163|loc119896480|loc119896481|loc119896533|loc119896476|loc119906047|loc119896478	myosin heavy chain, fast skeletal muscle-like|myosin heavy chain, fast skeletal muscle
GO:0014728	regulation of the force of skeletal muscle contraction	21/179	26/2086	5.90652391550854e-19	5.53065421179436e-18	1.24347871905443e-18	btp004481-T1/btp004488-T1/btp004489-T1/btp004485-T1/btp004486-T1/btp004480-T1/btp004487-T1/btp002112-T1/btp004490-T1/btp004471-T1/btp004470-T1/btp004469-T1/btp004478-T1/btp004476-T1_btp004477-T1.1.61e91810/btp004479-T1/btp021365-T1/btp021366-T1/btp021367-T1.1.61e8db7e/btp021368-T1.1.61e8db7e/btp021369-T1/btp021370-T1	21	loc121515109|loc121515112|loc120812197|loc120809427|loc119893047|loc119893273|loc119893275|loc121529422|loc121529421|loc121529424|loc121529423|loc120827164|loc120827163|loc119896480|loc119896481|loc119896533|loc119896476|loc119906047|loc119896478	myosin heavy chain, fast skeletal muscle-like|myosin heavy chain, fast skeletal muscle
GO:0031449	regulation of slow-twitch skeletal muscle fiber contraction	21/179	26/2086	5.90652391550854e-19	5.53065421179436e-18	1.24347871905443e-18	btp004481-T1/btp004488-T1/btp004489-T1/btp004485-T1/btp004486-T1/btp004480-T1/btp004487-T1/btp002112-T1/btp004490-T1/btp004471-T1/btp004470-T1/btp004469-T1/btp004478-T1/btp004476-T1_btp004477-T1.1.61e91810/btp004479-T1/btp021365-T1/btp021366-T1/btp021367-T1.1.61e8db7e/btp021368-T1.1.61e8db7e/btp021369-T1/btp021370-T1	21	loc121515109|loc121515112|loc120812197|loc120809427|loc119893047|loc119893273|loc119893275|loc121529422|loc121529421|loc121529424|loc121529423|loc120827164|loc120827163|loc119896480|loc119896481|loc119896533|loc119896476|loc119906047|loc119896478	myosin heavy chain, fast skeletal muscle-like|myosin heavy chain, fast skeletal muscle
GO:0055004	atrial cardiac myofibril assembly	21/179	26/2086	5.90652391550854e-19	5.53065421179436e-18	1.24347871905443e-18	btp004481-T1/btp004488-T1/btp004489-T1/btp004485-T1/btp004486-T1/btp004480-T1/btp004487-T1/btp002112-T1/btp004490-T1/btp004471-T1/btp004470-T1/btp004469-T1/btp004478-T1/btp004476-T1_btp004477-T1.1.61e91810/btp004479-T1/btp021365-T1/btp021366-T1/btp021367-T1.1.61e8db7e/btp021368-T1.1.61e8db7e/btp021369-T1/btp021370-T1	21	loc121515109|loc121515112|loc120812197|loc120809427|loc119893047|loc119893273|loc119893275|loc121529422|loc121529421|loc121529424|loc121529423|loc120827164|loc120827163|loc119896480|loc119896481|loc119896533|loc119896476|loc119906047|loc119896478	myosin heavy chain, fast skeletal muscle-like|myosin heavy chain, fast skeletal muscle
GO:0055005	ventricular cardiac myofibril assembly	21/179	26/2086	5.90652391550854e-19	5.53065421179436e-18	1.24347871905443e-18	btp004481-T1/btp004488-T1/btp004489-T1/btp004485-T1/btp004486-T1/btp004480-T1/btp004487-T1/btp002112-T1/btp004490-T1/btp004471-T1/btp004470-T1/btp004469-T1/btp004478-T1/btp004476-T1_btp004477-T1.1.61e91810/btp004479-T1/btp021365-T1/btp021366-T1/btp021367-T1.1.61e8db7e/btp021368-T1.1.61e8db7e/btp021369-T1/btp021370-T1	21	loc121515109|loc121515112|loc120812197|loc120809427|loc119893047|loc119893273|loc119893275|loc121529422|loc121529421|loc121529424|loc121529423|loc120827164|loc120827163|loc119896480|loc119896481|loc119896533|loc119896476|loc119906047|loc119896478	myosin heavy chain, fast skeletal muscle-like|myosin heavy chain, fast skeletal muscle
